time_s,PV,SP,throttle
0.0,40.0,85.0,0.0
0.1,40.0,85.0,0.0
0.2,40.0,85.0,0.0
0.30000000000000004,40.0,85.0,0.0
0.4,40.0,85.0,0.0
0.5,40.0,85.0,0.0
0.6,40.0,85.0,0.0
0.7,40.0,85.0,0.0
0.7999999999999999,40.0,85.0,0.0
0.8999999999999999,40.0,85.0,0.0
0.9999999999999999,40.0,85.0,0.0
1.0999999999999999,40.0,85.0,0.0
1.2,40.0,85.0,0.0
1.3,40.0,85.0,0.0
1.4000000000000001,40.0,85.0,0.0
1.5000000000000002,40.0,85.0,0.0
1.6000000000000003,40.0,85.0,0.0
1.7000000000000004,40.0,85.0,0.0
1.8000000000000005,40.0,85.0,0.0
1.9000000000000006,40.0,85.0,0.0
2.0000000000000004,40.0,85.0,0.0
2.1000000000000005,40.0,85.0,0.0
2.2000000000000006,40.0,85.0,0.0
2.3000000000000007,40.0,85.0,0.0
2.400000000000001,40.0,85.0,0.0
2.500000000000001,40.0,85.0,0.0
2.600000000000001,40.0,85.0,0.0
2.700000000000001,40.0,85.0,0.0
2.800000000000001,40.0,85.0,0.0
2.9000000000000012,40.0,85.0,0.0
3.0000000000000013,40.0,85.0,0.0
3.1000000000000014,40.0,85.0,0.0
3.2000000000000015,40.0,85.0,0.0
3.3000000000000016,40.0,85.0,0.0
3.4000000000000017,40.0,85.0,0.0
3.5000000000000018,40.0,85.0,0.0
3.600000000000002,40.0,85.0,0.0
3.700000000000002,40.0,85.0,0.0
3.800000000000002,40.0,85.0,0.0
3.900000000000002,40.0,85.0,0.0
4.000000000000002,40.0,85.0,0.0
4.100000000000001,40.0,85.0,0.0
4.200000000000001,40.0,85.0,0.0
4.300000000000001,40.0,85.0,0.0
4.4,40.0,85.0,0.0
4.5,40.0,85.0,0.0
4.6,40.0,85.0,0.0
4.699999999999999,40.0,85.0,0.0
4.799999999999999,40.0,85.0,0.0
4.899999999999999,40.0,85.0,0.0
4.999999999999998,40.0,85.0,0.0
5.099999999999998,40.0,85.0,0.0
5.1999999999999975,40.0,85.0,0.0
5.299999999999997,40.0,85.0,0.0
5.399999999999997,40.0,85.0,0.0
5.4999999999999964,40.0,85.0,0.0
5.599999999999996,40.0,85.0,0.0
5.699999999999996,40.0,85.0,0.0
5.799999999999995,40.0,85.0,0.0
5.899999999999995,40.0,85.0,0.0
5.999999999999995,40.0,85.0,0.0
6.099999999999994,40.0,85.0,0.0
6.199999999999994,40.0,85.0,0.0
6.299999999999994,40.0,85.0,0.0
6.399999999999993,40.0,85.0,0.0
6.499999999999993,40.0,85.0,0.0
6.5999999999999925,40.0,85.0,0.0
6.699999999999992,40.0,85.0,0.0
6.799999999999992,40.0,85.0,0.0
